Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,201
FRANCE,99780,98150,92206,95217,102347,95872,102930,100605,98780,102955,102284,103815,104652,105091,102472,100666,99898,95964,96273,90484,90872,91109,82704,2255126
